consumer_id,2023-01-01 00:00:00,2023-01-01 01:00:00,2023-01-01 02:00:00,2023-01-01 03:00:00,2023-01-01 04:00:00,2023-01-01 05:00:00,2023-01-01 06:00:00,2023-01-01 07:00:00,2023-01-01 08:00:00,2023-01-01 09:00:00,2023-01-01 10:00:00,2023-01-01 11:00:00,2023-01-01 12:00:00,2023-01-01 13:00:00,2023-01-01 14:00:00,2023-01-01 15:00:00,2023-01-01 16:00:00,2023-01-01 17:00:00,2023-01-01 18:00:00,2023-01-01 19:00:00,2023-01-01 20:00:00,2023-01-01 21:00:00,2023-01-01 22:00:00,2023-01-01 23:00:00,2023-01-02 00:00:00,2023-01-02 01:00:00,2023-01-02 02:00:00,2023-01-02 03:00:00,2023-01-02 04:00:00,2023-01-02 05:00:00,2023-01-02 06:00:00,2023-01-02 07:00:00,2023-01-02 08:00:00,2023-01-02 09:00:00,2023-01-02 10:00:00,2023-01-02 11:00:00,2023-01-02 12:00:00,2023-01-02 13:00:00,2023-01-02 14:00:00,2023-01-02 15:00:00,2023-01-02 16:00:00,2023-01-02 17:00:00,2023-01-02 18:00:00,2023-01-02 19:00:00,2023-01-02 20:00:00,2023-01-02 21:00:00,2023-01-02 22:00:00,2023-01-02 23:00:00
MTR_A_01,229.3,230.36,231.32,232.47,233.21,233.94,233.2,233.08,232.53,232.3,231.27,229.73,228.89,228.29,227.58,226.82,226.03,225.58,225.37,226.01,226.59,227.09,227.35,229.05,229.66,231.02,232.09,233.07,233.21,233.14,233.59,232.86,232.61,231.87,230.65,229.69,228.89,228.04,226.83,226.35,226.05,226.17,226.13,225.74,227.28,226.83,229.07,229.35
MTR_A_02,230.62,231.79,232.93,233.4,234.9,234.62,234.35,234.32,233.63,233.32,232.04,230.74,230.36,228.87,228.36,226.96,227.2,225.96,226.62,227.0,227.44,228.08,228.52,229.98,230.69,231.88,233.11,234.02,234.08,235.38,234.28,234.44,233.96,232.23,232.52,230.32,229.88,228.86,228.15,227.5,226.99,226.41,226.54,227.06,227.67,228.68,229.65,230.81
MTR_A_03,232.56,233.96,234.19,236.15,236.46,236.57,237.56,236.54,236.67,235.52,234.83,233.96,232.25,231.73,230.32,230.11,229.56,229.03,228.82,228.54,230.03,230.17,231.01,232.05,232.82,234.2,235.45,236.29,236.19,236.57,236.46,236.32,235.4,235.05,233.79,232.99,231.84,231.48,229.74,229.41,229.23,228.11,229.18,230.1,229.51,230.68,231.67,233.08
MTR_A_04,231.27,233.0,233.22,233.84,235.05,235.45,234.96,235.0,235.33,233.75,233.17,231.71,230.68,230.18,229.23,228.33,227.23,227.57,227.7,228.15,227.53,228.71,230.32,230.8,231.65,233.14,233.61,234.48,234.92,235.58,235.72,234.97,234.71,233.68,232.69,231.06,230.17,229.66,228.56,227.92,227.42,227.99,226.39,227.71,228.96,229.62,230.65,231.09
MTR_A_05,230.55,231.68,232.39,233.56,234.59,234.21,234.18,234.27,233.81,232.64,232.14,230.55,230.06,229.12,227.95,227.24,226.61,226.15,227.35,227.07,227.14,227.84,229.17,229.84,230.43,231.65,233.3,233.66,234.25,234.73,234.11,233.65,233.37,232.83,232.35,230.45,229.04,228.94,228.39,227.51,226.71,226.42,226.35,227.27,227.81,228.61,229.44,230.06
MTR_A_06,229.5,229.8,231.13,231.97,233.4,233.24,232.84,233.1,232.58,232.66,230.82,229.67,228.2,227.78,227.07,226.13,226.05,225.79,225.42,225.88,226.38,226.92,227.45,229.36,229.46,231.12,231.58,232.68,232.86,232.88,233.67,232.84,232.21,231.18,230.78,229.58,228.69,227.44,226.69,225.81,225.63,225.31,225.04,225.57,226.27,226.99,228.4,228.28
MTR_B_01,230.27,231.09,232.47,233.67,233.66,234.27,234.44,234.19,233.43,232.51,231.8,230.53,229.83,229.82,227.66,227.33,226.61,226.09,225.49,226.92,226.87,228.36,228.75,229.97,230.56,230.75,232.72,232.64,233.52,235.05,234.41,233.22,232.29,232.18,231.09,230.3,228.92,228.5,227.63,227.04,225.88,226.41,226.0,226.47,226.88,227.85,229.75,230.28
MTR_B_02,231.94,233.58,234.34,235.61,236.53,236.95,236.51,236.33,236.15,235.68,234.07,233.34,233.07,231.57,231.16,229.8,228.79,228.96,228.0,228.7,229.47,230.56,231.77,232.22,233.73,234.66,235.23,235.99,237.07,236.97,236.49,236.68,235.88,234.64,233.91,233.2,231.75,230.88,230.65,229.22,229.58,228.04,229.04,229.21,229.67,230.48,232.11,232.59
MTR_B_03,232.24,233.68,234.51,235.47,236.7,236.52,236.42,236.78,236.7,236.08,234.25,233.29,232.95,231.42,230.52,230.0,228.83,228.64,227.55,228.72,228.96,229.83,231.69,231.48,233.15,234.36,235.45,235.54,236.82,236.87,236.51,236.35,236.1,234.5,234.29,233.07,232.04,231.08,229.82,229.55,229.62,228.08,229.06,229.42,229.76,230.95,231.53,233.06
MTR_B_04,229.48,231.17,231.85,233.2,233.41,233.79,234.01,233.61,232.85,232.61,231.72,230.43,229.33,229.1,227.64,227.3,225.93,225.87,225.77,225.64,226.15,227.04,227.87,229.31,230.72,230.79,232.52,233.19,233.9,233.39,233.9,233.13,232.73,232.05,230.98,230.13,228.81,227.57,227.39,226.6,225.72,226.07,225.6,226.52,227.03,228.06,228.79,229.87
MTR_B_05,232.45,233.9,234.27,235.09,236.32,236.16,235.75,236.32,236.38,235.17,233.98,232.49,232.35,230.78,229.79,229.65,229.1,228.69,228.04,228.63,229.28,229.08,231.08,231.69,232.96,234.32,234.81,235.47,236.0,236.27,236.08,236.33,235.67,234.53,233.04,232.68,231.5,231.1,230.33,228.45,229.14,228.14,228.59,229.08,229.72,230.64,231.09,231.98
MTR_B_06,229.06,231.15,231.24,232.58,232.68,233.86,233.82,234.1,232.67,231.57,231.52,230.62,229.47,229.3,227.35,226.46,225.93,225.7,225.47,226.81,226.68,227.35,228.14,229.24,230.76,230.91,232.3,231.94,233.2,233.8,233.4,232.91,232.67,232.3,230.93,230.2,229.11,227.65,227.58,225.91,225.32,225.56,226.11,226.43,226.24,227.79,228.98,229.81
MTR_C_01,231.38,232.45,233.49,234.35,234.87,235.42,235.98,235.56,234.09,233.84,233.41,232.44,231.01,229.87,229.37,227.86,228.17,227.94,227.46,227.78,228.58,229.27,229.97,230.81,231.84,232.91,233.99,234.31,234.78,235.06,235.26,235.4,234.18,233.52,232.63,231.47,230.76,229.16,228.59,228.55,227.14,227.1,227.02,227.75,228.91,229.4,230.2,231.9
MTR_C_02,231.53,232.55,233.75,234.21,235.36,235.7,236.1,235.52,235.28,234.42,233.31,233.16,231.4,230.04,230.06,229.03,228.05,227.45,227.51,228.28,228.9,229.43,230.31,231.5,232.15,233.39,234.03,234.9,235.29,235.66,235.24,236.03,234.21,233.37,233.75,232.3,230.19,229.73,228.34,227.74,226.83,227.41,227.53,228.05,228.05,229.5,230.48,231.92
MTR_C_03,229.06,230.38,231.75,233.13,233.04,233.57,232.97,233.51,233.2,232.57,231.37,230.57,229.2,228.37,227.09,226.08,225.93,225.54,225.61,225.93,226.59,227.43,228.16,228.94,230.39,231.21,231.76,233.21,233.17,233.55,233.99,233.7,233.04,232.04,231.71,230.0,228.88,227.68,226.82,226.2,225.67,225.91,225.48,226.48,226.45,228.02,228.54,230.3
MTR_C_04,229.86,230.84,231.66,232.91,233.27,233.68,233.61,234.22,233.46,232.88,231.89,231.03,229.07,228.34,227.47,226.06,225.91,225.29,225.95,226.23,227.1,227.84,228.02,228.86,230.03,230.99,232.14,233.06,233.33,233.82,233.77,233.62,233.57,231.99,231.75,229.99,229.17,228.38,227.9,226.07,225.84,225.85,225.48,226.45,226.94,228.43,228.44,230.23
MTR_C_05,231.8,232.23,233.76,234.18,235.24,235.57,235.58,235.13,234.57,234.99,233.99,232.62,231.16,230.48,229.4,228.84,228.04,227.86,227.14,228.04,228.85,229.15,229.75,230.9,232.44,233.94,234.14,234.97,235.98,236.21,235.47,235.08,234.63,234.17,233.34,232.05,230.7,230.3,228.96,228.22,228.0,227.45,227.85,227.64,228.59,230.44,230.92,231.84
